Item,Calories,Calories from Fat,Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Carbohydrates,Fiber,Sugar,Protein,Vitamin A,Vitamin C,Calcium,Iron
Desserts Nutrition Facts,,,,,,,,,,,,,,,
Chocolate Chunk Cookie,390,,21,11,0,25,270,51,2,30,4,,,,
Double Chocolate Chip Cookie,350,,17,9,0,25,260,48,5,28,4,,,,
Espresso Chip Bar,290,,11,5,0,20,200,43,6,20,5,,,,
Oatmeal Bar,290,,10,4.5,0,20,230,47,5,23,4,,,,
Sugar Cookie,390,,19,9,0,30,360,53,1,28,4,,,,
,,,,,,,,,,,,,,,
Frosty Treats Nutrition Facts,,,,,,,,,,,,,,,
"Chocolate Frosty, Small",300,,8,5,0,30,140,49,0,42,7,,,,
"Vanilla Frosty, Small",280,,7,5,0,30,135,47,0,40,7,,,,
,,,,,,,,,,,,,,,
Salad Dressings & Toppings Nutrition Facts,,,,,,,,,,,,,,,
Apple Balsamic Vinaigrette,80,,5,1,0,0,240,7,0,7,0,,,,
BBQ Ranch Dressing,100,,7,1,0,5,260,8,0,6,1,,,,
Classic Ranch,100,,10,2,0,10,150,2,0,1,1,,,,
Gourmet Croutons,80,,3,0,0,0,220,12,0,0,2,,,,
Honey Roasted Sunflower Seeds,45,,4,0,0,0,0,3,0,2,1,,,,
Italian Vinaigrette,70,,6,1,0,0,180,4,0,3,0,,,,
Lemon Garlic Caesar Dressing,110,,11,2,0,10,180,2,0,1,2,,,,
Light Classic Ranch,50,,5,1,0,10,150,2,0,1,1,,,,
Light Honey French Dressing,40,,0,0,0,0,95,9,0,8,0,,,,
Light Spicy Asian Chili Vinaigrette,45,,2,0,0,0,190,7,0,6,0,,,,
Pomegranate Vinaigrette Dressing,60,,3,0,0,0,160,8,0,7,0,,,,
Roasted Pecans,110,,9,1,0,0,60,5,1,4,1,,,,
Spicy Roasted Cashews,80,,6,1,0,0,65,4,0,1,2,,,,
Thousand Island,160,,15,3,0,15,290,5,0,4,0,,,,
,,,,,,,,,,,,,,,
Salads Nutrition Facts,,,,,,,,,,,,,,,
Apple Pecan Chicken Salad Full,340,,11,7,0,105,1150,28,5,20,35,,,,
Apple Pecan Chicken Salad Half,180,,6,3.5,0,55,490,14,3,9,18,,,,
Asian Cashew Chicken Salad Half,110,,2,0,0,45,260,8,3,3,17,,,,
Asian Cashew Chicken Salad Whole,210,,4,0,0,90,520,13,5,5,33,,,,
BBQ Ranch Chicken Salad Half,210,,8,3.5,0,60,510,17,3,9,20,,,,
BBQ Ranch Chicken Salad Whole,390,,15,7,0,125,940,28,4,12,40,,,,
Power Mediterranean Chicken Salad Half,230,70,8,2,0,55,630,21,5,10,20,80,45,10,8
Power Mediterranean Chicken Salad Whole,430,130,14,4,0,115,1220,38,8,18,39,120,80,20,15
Spicy Chicken Caesar Salad Half,250,,14,6,0,45,520,14,4,2,18,,,,
Spicy Chicken Caesar Salad Whole,470,,25,12,1,90,1240,26,5,3,37,,,,
,,,,,,,,,,,,,,,
Sandwiches and Burgers Nutrition Facts,,,,,,,,,,,,,,,
Asiago Ranch Club w/ Homestyle Chicken,690,,36,12,0,95,1630,56,4,9,35,,,,
Asiago Ranch Club w/ Spicy Chicken,710,,37,12,0,110,1630,57,3,9,40,,,,
Asiago Ranch Club w/ Ultimate Chicken Grill,570,,27,10,0,125,1530,41,3,9,42,,,,
Baconator Single,660,,40,17,2,120,1440,40,2,9,36,,,,
"Cheeseburger, Kids Meal",290,,13,6,1,45,750,25,1,5,17,,,,
Chicken Go Wrap w/ Grilled Chicken,260,,10,4,0,50,730,25,1,3,19,,,,
Chicken Go Wrap w/ Homestyle Chicken,320,,16,5,0,35,770,30,1,1,15,,,,
Chicken Go Wrap w/ Spicy Chicken,340,,,16,5,0,45,770,31,1,1,17,,,
Crispy Chicken BLT,440,220,24,7,0,55,950,37,1,5,20,10,15,10,10
Crispy Chicken Sandwich,380,,,20,4,0,35,720,37,2,4,15,,,
Dave's Double Cheeseburger,800,,48,21,3,175,1530,42,3,10,50,,,,
Dave's Single Cheeseburger,580,,33,14,2,105,1240,42,3,10,31,,,,
Dave's Triple Cheeseburger,1060,,,67,30,4,255,2020,42,3,10,72,,,
Double Stack,400,,,21,9,2,85,1080,26,1,5,27,,,
Grilled Chicken Sandwich,350,80,9,1.5,0,100,880,35,2,9,33,6,15,4,10
"Hamburger, Kids Meal",250,,10,4,1,35,540,25,1,5,15,,,,
Homestyle Chicken Fillet Sandwich,510,,21,6,0,60,1140,54,4,8,26,,,,
Jalapeno Fresco Spicy Chicken Sandwich,590,260,29,9,0.5,100,1370,51,2,6,34,15,50,20,15
Jr. Bacon Cheeseburger (JBC),400,,24,9,1,65,930,25,2,5,21,,,,
Jr. Cheeseburger,290,,13,6,1,45,820,26,1,5,17,,,,
Jr. Cheeseburger Deluxe,350,,19,7,1,55,850,27,2,6,17,,,,
Jr. Hamburger,250,,10,4,1,35,620,25,1,5,15,,,,
Kids Grilled Chicken Wrap,260,,10,3.5,0,55,740,25,1,3,19,,,,
Premium Cod Sandwich,480,,23,4,0,40,970,51,3,6,18,,,,
Son of Baconator,700,,43,18,1.5,130,1760,40,2,9,39,,,,
Spicy Chicken Fillet Sandwich,530,,22,6,0,75,1140,55,3,8,31,,,,
Ultimate Chicken Grill Sandwich,390,,10,4,0,90,1080,42,3,10,33,,,,
,,,,,,,,,,,,,,,
Sides Nutrition Facts,,,,,,,,,,,,,,,
Apple Slices,40,,0,0,0,0,0,9,2,7,0,,,,
Bacon & Cheese Baked Potato,540,,23,11,0.5,65,890,66,7,5,22,,,,
Broccoli & Cheese Baked Potato,440,,14,,8,0.5,40,510,67,8,6,16,,,
Caesar Side Salad,60,,4,,3,0,10,115,5,2,2,4,,,
Chili Large,310,,9,,4,1,60,1330,31,10,10,26,,,
Chili Small,210,,6,,3,0,40,880,21,6,6,17,,,
Garden Side Salad,25,,0,,0,0,0,30,5,2,3,1,,,
Ghost Pepper Fries,520,290,33,9,0.5,30,840,47,4,2,9,15,45,15,6
Ketchup Packet,10,,0,,0,0,0,95,3,0,2,0,,,
Natural-Cut Fries Large,530,,25,,5,0,0,570,68,7,0,6,,,
Natural-Cut Fries Medium,420,,21,,4,0,0,460,55,6,0,5,,,
Natural-Cut Fries Small,320,,16,,3,0,0,350,42,4,0,4,,,
Natural-Cut Fries Value,230,,11,,3,0,0,250,30,3,0,3,,,
Plain Baked Potato,270,,0,,0,0,0,25,61,7,3,7,,,
Sour Cream & Chives Baked Potato,320,,4,,2,0,10,50,63,7,4,8,,,
